unit,sizen_r2,indic_is,geo\time	2016 	2015 	2014 
PC_ENT,10_C10_18,E_CC_PCRM,HU	2 	2 	1 
PC_ENT,10_C10_18,E_CC_PCRM,IE	6 	5 	5 
PC_ENT,10_C10_18,E_CC_PCRM,IS	: 	: 	5 
PC_ENT,10_C10_18,E_CC_PCRM,IT	2 b	: 	5 
PC_ENT,10_C10_18,E_CC_PCRM,LT	2 	3 	3 
PC_ENT,10_C10_18,E_CC_PCRM,LU	3 	: 	2 
PC_ENT,10_C10_18,E_CC_PCRM,LV	1 	1 	0 n
PC_ENT,10_C10_18,E_CC_PCRM,MK	0 n	: 	2 
PC_ENT,10_C10_18,E_CC_PCRM,MT	2 	: 	4 
PC_ENT,10_C10_18,E_CC_PCRM,NL	6 	: 	6 
PC_ENT,10_C10_18,E_CC_PCRM,NO	10 	7 	6 
PC_ENT,10_C10_18,E_CC_PCRM,PL	1 	1 	1 
PC_ENT,10_C10_18,E_CC_PCRM,PT	3 	: 	2 
PC_ENT,10_C10_18,E_CC_PCRM,RO	1 	0 n	0 
PC_ENT,10_C10_18,E_CC_PCRM,RS	: 	: 	0 
PC_ENT,10_C10_18,E_CC_PCRM,SE	7 	: 	5 
PC_ENT,10_C10_18,E_CC_PCRM,SI	: c	1 	: c
PC_ENT,10_C10_18,E_CC_PCRM,SK	3 	3 	1 
PC_ENT,10_C10_18,E_CC_PCRM,UK	7 	: 	4 
PC_ENT,10_C10_18,E_CC_PDB,AT	3 	: 	4 
PC_ENT,10_C10_18,E_CC_PDB,BE	13 	13 	4 
PC_ENT,10_C10_18,E_CC_PDB,BG	1 	1 	2 
PC_ENT,10_C10_18,E_CC_PDB,CY	1 	2 	1 
PC_ENT,10_C10_18,E_CC_PDB,CZ	5 	: 	3 
PC_ENT,10_C10_18,E_CC_PDB,DE	: u	: 	: u
PC_ENT,10_C10_18,E_CC_PDB,DK	13 	17 	14 
PC_ENT,10_C10_18,E_CC_PDB,EA	6 	: 	6 
PC_ENT,10_C10_18,E_CC_PDB,EE	3 	: 	3 
PC_ENT,10_C10_18,E_CC_PDB,EL	3 	3 	: u
PC_ENT,10_C10_18,E_CC_PDB,ES	7 	6 	5 
PC_ENT,10_C10_18,E_CC_PDB,EU15	7 	: 	6 
PC_ENT,10_C10_18,E_CC_PDB,EU27	6 	: 	5 
PC_ENT,10_C10_18,E_CC_PDB,EU28	6 	: 	5 
PC_ENT,10_C10_18,E_CC_PDB,FI	25 	16 	18 
PC_ENT,10_C10_18,E_CC_PDB,FR	6 	: 	3 
PC_ENT,10_C10_18,E_CC_PDB,HR	10 	7 	9 
PC_ENT,10_C10_18,E_CC_PDB,HU	3 	3 	1 
PC_ENT,10_C10_18,E_CC_PDB,IE	17 	11 	6 
PC_ENT,10_C10_18,E_CC_PDB,IS	: 	: 	28 
PC_ENT,10_C10_18,E_CC_PDB,IT	5 b	: 	11 
PC_ENT,10_C10_18,E_CC_PDB,LT	4 	7 	4 
PC_ENT,10_C10_18,E_CC_PDB,LU	10 	: 	1 
PC_ENT,10_C10_18,E_CC_PDB,LV	3 	4 	3 
PC_ENT,10_C10_18,E_CC_PDB,MK	1 	: 	2 
PC_ENT,10_C10_18,E_CC_PDB,MT	6 	: 	5 
PC_ENT,10_C10_18,E_CC_PDB,NL	16 	: 	11 
PC_ENT,10_C10_18,E_CC_PDB,NO	20 	14 	9 
PC_ENT,10_C10_18,E_CC_PDB,PL	2 	1 	1 
PC_ENT,10_C10_18,E_CC_PDB,PT	3 	: 	2 
PC_ENT,10_C10_18,E_CC_PDB,RO	3 	1 	2 
PC_ENT,10_C10_18,E_CC_PDB,RS	: 	: 	0 n
PC_ENT,10_C10_18,E_CC_PDB,SE	14 	: 	13 
PC_ENT,10_C10_18,E_CC_PDB,SI	6 	5 	1 
PC_ENT,10_C10_18,E_CC_PDB,SK	4 	4 	4 
PC_ENT,10_C10_18,E_CC_PDB,UK	12 	: 	8 
PC_ENT,10_C10_18,E_CC_PEM,AT	5 	: 	5 
PC_ENT,10_C10_18,E_CC_PEM,BE	19 	14 	13 
PC_ENT,10_C10_18,E_CC_PEM,BG	2 	2 	4 
PC_ENT,10_C10_18,E_CC_PEM,CY	3 	4 	4 
PC_ENT,10_C10_18,E_CC_PEM,CZ	10 	: 	11 
